MWG Database,Property," 1"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 2"," 20"," 21"," 3"," 4"," 5"," 6"," 7"," 8"," 9"
TELEGRAM,,,,,,,,,,,,,,,,,,,,,,
LANGUAGE(S) SPOKEN,English,,,,,,,,,,,,,,,,,,,,,
WORKER INFO,,,,,,,,,,,,,,,,,,,,,,
ROLE TITLE,Storage worker,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
EXPERIENCE,"IT infrastructure, senior engineer.",,,,,,,,,,,,,,,,,,,,,
DISCORD,JonnyBoy137#4756,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
COUNTRY/TIMEZONE,England/BST,,,,,,,,,,,,,,,,,,,,,
CORE SKILLS,"Linux ",,,,,,,,,,,,,,,,,,,,,
EMAIL,,,,,,,,,,,,,,,,,,,,,,
MEMBERSHIP ID,3591,,,,,,,,,,,,,,,,,,,,,
MM/YY JOINED JOYSTREAM,December 2022,,,,,,,,,,,,,,,,,,,,,
GITHUB LINK,,,,,,,,,,,,,,,,,,,,,,
GITHUB  USERNAME,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
