MWG Database,Property," 1"," 2"," 3"," 4"," 5"," 6"," 7"," 8"," 9"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 20"," 21"
WORKER INFO,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DISCORD,JonnyBoy137#4756,,,,,,,,,,,,,,,,,,,,,
TELEGRAM,,,,,,,,,,,,,,,,,,,,,,
EMAIL,,,,,,,,,,,,,,,,,,,,,,
GITHUB  USERNAME,,,,,,,,,,,,,,,,,,,,,,
GITHUB LINK,,,,,,,,,,,,,,,,,,,,,,
MEMBERSHIP ID,3591,,,,,,,,,,,,,,,,,,,,,
MM/YY JOINED JOYSTREAM,December 2022,,,,,,,,,,,,,,,,,,,,,
LANGUAGE(S) SPOKEN,English,,,,,,,,,,,,,,,,,,,,,
CORE SKILLS,"Linux ",,,,,,,,,,,,,,,,,,,,,
COUNTRY/TIMEZONE,England/BST,,,,,,,,,,,,,,,,,,,,,
EXPERIENCE,"IT infrastructure, senior engineer.",,,,,,,,,,,,,,,,,,,,,
ROLE TITLE,Storage worker,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
