BWG Database,Property," 1"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 2"," 20"," 21"," 3"," 4"," 5"," 6"," 7"," 8"," 9"
ROLE TITTLE,Developer,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
WORKER INFO,,,,,,,,,,,,,,,,,,,,,,
GITHUB LINK,https://github.com/freakstatic,,,,,,,,,,,,,,,,,,,,,
EXPERIENCE,"More than 5 years of experience as a web developer using PHP, Node.js with Javascript and Typescript. I also have been a builder even before the builders WG existed 
 as a operations worker. I have already created some scripts to help the previous council with reports and data collection.",,,,,,,,,,,,,,,,,,,,,
MM/YY JOINED JOYSTREAM,09-2020,,,,,,,,,,,,,,,,,,,,,
MEMBERSHIP ID,306,,,,,,,,,,,,,,,,,,,,,
PERFORMANCE REMARKS,responsible,,,,,,,,,,,,,,,,,,,,,
LANGUAGE(S) SPOKEN,EN/PT,,,,,,,,,,,,,,,,,,,,,
TELEGRAM,@freakstatic,,,,,,,,,,,,,,,,,,,,,
TIME ZONE,Portugal - UTC,,,,,,,,,,,,,,,,,,,,,
DISCORD,freakstatic#0197,,,,,,,,,,,,,,,,,,,,,
CORE SKILLS,Developer (Problem solving skills and good communication with others to develop software),,,,,,,,,,,,,,,,,,,,,
EMAIL,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
GITHUB USERNAME,freakstatic,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
