BWG Database,Property," 1"," 2"," 3"," 4"," 5"," 6"," 7"," 8"," 9"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 20"," 21"
,,,,,,,,,,,,,,,,,,,,,,
WORKER INFO,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DISCORD,prontera#3425,,,,,,,,,,,,,,,,,,,,,
TELEGRAM,,,,,,,,,,,,,,,,,,,,,,
EMAIL,,,,,,,,,,,,,,,,,,,,,,
MEMBERSHIP ID,1737,,,,,,,,,,,,,,,,,,,,,
GITHUB USERNAME,,,,,,,,,,,,,,,,,,,,,,
GITHUB LINK,,,,,,,,,,,,,,,,,,,,,,
MM/YY JOINED JOYSTREAM,02/2021,,,,,,,,,,,,,,,,,,,,,
LANGUAGE(S) SPOKEN," En, Ru
",,,,,,,,,,,,,,,,,,,,,
CORE SKILLS,,,,,,,,,,,,,,,,,,,,,,
TIME ZONE,GMT +3,,,,,,,,,,,,,,,,,,,,,
EXPERIENCE,I have experience as a curator in Joystream,,,,,,,,,,,,,,,,,,,,,
ROLE TITTLE,Content Curator On Gleev,,,,,,,,,,,,,,,,,,,,,
PERFORMANCE REMARKS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
