CWG Database,Property," 1"," 2"," 3"," 4"," 5"," 6"," 7"," 8"," 9"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 20"," 21"
,,,,,,,,,,,,,,,,,,,,,,
WORKER INFO,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DISCORD,firuz89#9066,,,,,,,,,,,,,,,,,,,,,
TELEGRAM,,,,,,,,,,,,,,,,,,,,,,
EMAIL,,,,,,,,,,,,,,,,,,,,,,
MEMBERSHIP ID,3625,,,,,,,,,,,,,,,,,,,,,
GITHUB USERNAME,,,,,,,,,,,,,,,,,,,,,,
GITHUB LINK,,,,,,,,,,,,,,,,,,,,,,
MM/YY JOINED JOYSTREAM,12/2022,,,,,,,,,,,,,,,,,,,,,
LANGUAGE(S) SPOKEN,"English ,Turkish",,,,,,,,,,,,,,,,,,,,,
CORE SKILLS,"web3, computer software/hardware, ms office and social media",,,,,,,,,,,,,,,,,,,,,
COUNTRY / TIME ZONE,Turkey /UTC+3,,,,,,,,,,,,,,,,,,,,,
EXPERIENCE," founding member. previously worked in the content workgroup on testnets",,,,,,,,,,,,,,,,,,,,,
ROLE TITTLE,Content Worker,,,,,,,,,,,,,,,,,,,,,
PERFORMANCE REMARKS,,,,,,,,,,,,,,,,,,,,,,
